#separator:pipe
#html:false
#deck:JLPT N1 漢字
#notetype:Ikoma Kanji
亜熱帯|あねったい|subtropical|あの国は{{c1::亜熱帯}}気候だ。
詠む|よむ|to compose (a poem)|歌を{{c1::詠む}}。
影響|えいきょう|influence|{{c1::影響}}を与える。
人影|ひとかげ|figure of a person|チラッと{{c1::人影}}が見えた。
衛生|えいせい|hygiene|{{c1::衛生}}に気をつけて調理してください。
人工衛星|じんこうえいせい|artificial satellite|{{c1::人工衛星}}が打ち上げられた。
免疫|めんえき|immunity|{{c1::免疫}}があるので失笑美だ。
疫病神|やくびょうがみ|jinx; bearer of misfortune|彼は{{c1::疫病神}}と言われている。
利益|りえき|profit; benefit|{{c1::利益}}があることを有益という。
有益|ゆうえき|beneficial|毎日お参りをしていたら御利益があった。
御利益|ごりやく|blessing; divine favor|{{c1::御利益}}があった。
餌|えさ|bait; food (for animals)|動物に{{c1::餌}}をやる。
悦|えつ|joy; pleasure|期待より良い成績だったので、一人で{{c1::悦}}に入っていた。
閲覧|えつらん|reading; browsing|図書室で{{c1::閲覧}}する。
検閲|けんえつ|censorship|外国に手紙を出す際、文面を{{c1::検閲}}された。
沿線|えんせん|along a railway line|達は中央線{{c1::沿線}}に住んでいる。
炎上|えんじょう|blaze; bursting into flames|若油タンクが{{c1::炎上}}した。
肺炎|はいえん|pneumonia|{{c1::肺炎}}になってしまった。
炎|ほのお|flame|家が{{c1::炎}}に包まれた。
宴会|えんかい|banquet; party|{{c1::宴会}}場は、こちらです。
披露宴|ひろうえん|wedding reception|すばらしい{{c1::披露宴}}だった。
応援|おうえん|cheering; support|Aチームを{{c1::応援}}している。
援助|えんじょ|assistance; aid|政府の{{c1::援助}}を受ける。
支援|しえん|support; backing|小林氏の活動を{{c1::支援}}する。
猿|さる|monkey|ゴリラなどを類人{{c1::猿}}という。
類人猿|るいじんえん|anthropoid ape|ゴリラなどを{{c1::類人猿}}という。
鉛筆|えんぴつ|pencil|解答を{{c1::鉛筆}}で書く。
鉛|なまり|lead (metal)|この荷物は{{c1::鉛}}のように重い。
縁談|えんだん|marriage proposal|{{c1::縁談}}が持ち上がり、お見合いすることになった。
縁|ふち|rim; edge|茶わんの{{c1::縁}}が欠けた。
応急|おうきゅう|emergency|{{c1::応急}}手当で一命をとりとめた。
反応|はんのう|reaction|相手の{{c1::反応}}を見る。
適応|てきおう|adaptation|彼は環境に{{c1::適応}}できた。
往診|おうしん|house call (medical)|祖父の具合が悪いので、{{c1::往診}}してもらった。
往復|おうふく|round trip|職場の{{c1::往復}}に2時間もかかる。
殴打|おうだ|blow; strike|顔を{{c1::殴打}}されてけがを負った。
殴られた|なぐられた|was hit|父に{{c1::殴られた}}。
桜|さくら|cherry blossom|{{c1::桜}}の花を{{c1::桜}}花とも言う。
桜花|おうか|cherry blossom (poetic)|桜の花を{{c1::桜花}}とも言う。
記憶|きおく|memory|全然、{{c1::記憶}}にない。
記憶力|きおくりょく|memory power|彼の{{c1::記憶力}}はすごい。
俺|おれ|I (male, informal)|「{{c1::俺}}の部屋に入るな」と、息子は言った。
卸して|おろして|to wholesale|この会社は、生鮮食品を{{c1::卸して}}いる。
卸売り|おろしうり|wholesale|{{c1::卸売り}}と小売りの価格に開きがある。
恩恵|おんけい|grace; blessing|{{c1::恩恵}}を受ける。
恩|おん|favor; kindness|{{c1::恩}}に着る。
穏便|おんびん|amicable|話を{{c1::穏便}}に収めようとした。
穏やかな|おだやかな|calm; gentle|彼は{{c1::穏やかな}}人柄だ。
仮定|かてい|assumption|事実と{{c1::仮定}}してみる。
仮病|けびょう|feigned illness|{{c1::仮病}}で会社を休んだ。
仮縫い|かりぬい|basting (temporary sewing)|ミシンで縫う前に{{c1::仮縫い}}する。
佳作|かさく|honourable mention; good work|彼女の詩は、{{c1::佳作}}だった。
価格|かかく|price|にせものに高い{{c1::価格}}をつけて売っている。
価する|あたいする|to be worth|その美しさは、ご覧に値する。
架空|かくう|fictional; imaginary|これは{{c1::架空}}の物語です。
架かる|かかる|to be built (bridge)|橋が{{c1::架かる}}。
架け橋|かけはし|bridge (between things)|両国の{{c1::架け橋}}となる。
餌|えさ|bait; animal feed|猿に{{c1::餌}}を与えないでください。
卸す|おろす|to wholesale|この会社は、生鮮食品を卸している。
叱られる|しかられる|to be scolded|桜の頃、悪いことをして父に叱られた。
穏やか|おだやか|calm; gentle|彼は{{c1::穏やか}}な人柄だ。
恩に着る|おんにきる|to be grateful|{{c1::恩に着る}}。
殴る|なぐる|to hit; to punch|顔を殴打されてけがを負った。
値する|あたいする|to be worth|その美しさは、ご覧に{{c1::値する}}。
華道|かどう|flower arrangement|{{c1::華道}}を習っている。
華|はな|splendor; flower|彼女は社交界の{{c1::華}}だった。
華やか|はなやか|gorgeous; showy|{{c1::華やか}}な気質に参加する。
渦中|かちゅう|midst (of a situation)|事件の{{c1::渦中}}に巻き込まれる。
渦|うず|whirlpool|洗顔機の栓で茶が{{c1::渦}}を巻いている。
転嫁|てんか|diversion (of blame)|責任を{{c1::転嫁}}する。
花嫁|はなよめ|bride|{{c1::花嫁}}はとても美しかった。
嫁いで|とついで|to marry into a family|彼女は彼の家に{{c1::嫁いで}}行った。
余暇|よか|leisure|あなたは{{c1::余暇}}をどのように過ごしますか。
暇な|ひまな|free (time)|{{c1::暇な}}時は、ビデオを借りてきて見る。
災禍|さいか|calamity|演説で{{c1::災禍}}をこうむった。
禍根|かこん|source of calamity|その一件は後に{{c1::禍根}}を残した。
寡黙|かもく|taciturn|彼は{{c1::寡黙}}だが、しっかりした考えをもっている。
箇所|かしょ|place; part|訂正すべき{{c1::箇所}}があったら教えてください。
箇条書き|かじょうがき|itemized list|要点を{{c1::箇条書き}}にまとめる。
板前稼業|いたまえかぎょう|chef profession|{{c1::板前稼業}}は苦労が多い。
共稼ぎ|ともかせぎ|dual-income household|あの夫婦は{{c1::共稼ぎ}}です。
蚊|か|mosquito|{{c1::蚊}}に刺されたところがかゆい。
喧嘩|けんか|fight; quarrel|親と{{c1::喧嘩}}してしまった。
我慢|がまん|patience; endurance|嫌でも{{c1::我慢}}した。
我先|われさき|every man for himself|人々は{{c1::我先}}にと非常口へ向かった。
発芽|はつが|germination|チューリップが{{c1::発芽}}した。
芽|め|bud; sprout|蒔いたヒマワリの種が、{{c1::芽}}を出した。
祝賀会|しゅくがかい|celebration party|優勝したので{{c1::祝賀会}}をひらいた。
年賀状|ねんがじょう|New Year’s card|{{c1::年賀状}}を書いた。
優雅|ゆうが|elegant; graceful|彼は{{c1::優雅}}な生活を送っている。
飢餓|きが|famine|{{c1::飢餓}}に苦しんでいる人も少なくない。
餓死|がし|starvation|食料がなくなり{{c1::餓死}}した。
警戒|けいかい|vigilance|未審な人物の{{c1::警戒}}に当たる。
戒めた|いましめた|admonished; warned|無駄遣いを{{c1::戒めた}}。
奇怪|きかい|strange; bizarre|{{c1::奇怪}}な事件だった。
怪しい|あやしい|suspicious|空模様が{{c1::怪しい}}。
怪我|けが|injury|交通事故で{{c1::怪我}}をした。
誘拐犯|ゆうかいはん|kidnapper|{{c1::誘拐犯}}が捕まった。
後悔|こうかい|regret|やめればよかったと{{c1::後悔}}している。
悔しい|くやしい|frustrating; regrettable|逆転負けしたので{{c1::悔しい}}。
悔しむ|くやしむ|to regret|失敗を悔やむ。
金塊|きんかい|gold bar; ingot|{{c1::金塊}}がみつかった。
塊|かたまり|lump; mass|肉の{{c1::塊}}を切り分ける。
破壊|はかい|destruction|自然がどんどん{{c1::破壊}}されていく。
壊れた|こわれた|broken|{{c1::壊れた}}箇所を修理する。
懐中電灯|かいちゅうでんとう|flashlight|停電で、{{c1::懐中電灯}}をさがした。
懐|ふところ|pocket; financial condition|給料をもらって{{c1::懐}}が暖かい。
懐かしい|なつかしい|nostalgic|故郷が{{c1::懐かしい}}。
弾劾|だんがい|impeachment|政府を{{c1::弾劾}}する記事を書いた。
生涯|しょうがい|lifetime|留学生活は{{c1::生涯}}忘れられないだろう。
天涯孤独|てんがいこどく|completely alone in the world|彼は{{c1::天涯孤独}}の身の上だ。
街頭|がいとう|in the streets|{{c1::街頭}}演説をする。
街道|かいどう|highway; main road|苦い歴史をもつ{{c1::街道}}を歩く。
街角|まちかど|street corner|{{c1::街角}}でばったり会った。
憤慨|ふんがい|indignation|彼は店のサービスの悪さに{{c1::憤慨}}していた。
慨嘆|がいたん|lamentation|悲運を{{c1::慨嘆}}する。
該当|がいとう|applicable|{{c1::該当}}する項目に印をつける。
大概|たいがい|mostly; generally|{{c1::大概}}の人はもう知っている。
一概に|いちがいに|categorically|{{c1::一概に}}悪いとは言えない。
垣根|かきね|hedge|このへんの家は{{c1::垣根}}で囲まれている。
石垣|いしがき|stone wall|あの街には古い{{c1::石垣}}が多い。
鍵|かぎ|key|家の{{c1::鍵}}をなくしてしまった。
拡張|かくちょう|expansion|将来は事業を{{c1::拡張}}したいと考えている。
拡大|かくだい|enlargement|{{c1::拡大}}コピーをとる。
核兵器|かくへいき|nuclear weapon|{{c1::核兵器}}の持ち込みに反対する。
核|かく|core; nuclear|この団体には、{{c1::核}}となる人物がいない。
甲殻類|こうかくるい|crustacean|エビやカニなどは{{c1::甲殻類}}に属する。
殻|から|shell|卵の{{c1::殻}}を割る。
貝殻|かいがら|seashell|浜辺で{{c1::貝殻}}を拾った。
輪郭|りんかく|outline; contour|顔の{{c1::輪郭}}が父親に似ている。
比較|ひかく|comparison|この店の品物は他の店と{{c1::比較}}して安い。
隔週|かくしゅう|every other week|会社は土曜日は{{c1::隔週}}で休みだ。
隔てて|へだてて|across; in between|彼の家は通りを{{c1::隔てて}}向こう側にある。
内閣総理大臣|ないかくそうりだいじん|Prime Minister|田中氏が{{c1::内閣総理大臣}}になった。
天守閣|てんしゅかく|castle tower|大阪城の{{c1::天守閣}}から街を見下ろした。
捕獲|ほかく|capture|鱗を{{c1::捕獲}}した。
獲物|えもの|prey|ライオンは{{c1::獲物}}を見つけると、近づいていった。
収穫|しゅうかく|harvest; gain|今日の{{c1::収穫}}はゼロだった。
山岳地帯|さんがくちたい|mountainous region|{{c1::山岳地帯}}は天気が変わりやすい。
八ヶ岳|やつがたけ|Mount Yatsugatake|登山家が{{c1::八ヶ岳}}に登る。
崖|がけ|cliff|{{c1::崖}}が崩れた。
賭け事|かけごと|gambling|{{c1::賭け事}}は禁止する。
籠|かご|basket|竹で{{c1::籠}}を編んだ。
霞んで|かすんで|to be hazy|月が{{c1::霞んで}}いる。
新潟県|にいがたけん|Niigata Prefecture|彼は{{c1::新潟県}}の出身だそうだ。
干潟|ひがた|tidal flat|{{c1::干潟}}の埋め立てに反対する。
総括|そうかつ|summary; generalization|意見を{{c1::総括}}して結論を出す。
括弧|かっこ|parentheses|{{c1::括弧}}の中に適当な言葉を入れる。
恐喝|きょうかつ|blackmail|{{c1::恐喝}}で逮捕された。
渇水|かっすい|drought; water shortage|{{c1::渇水}}で農業は困っている。
渇き|かわき|thirst|のどの{{c1::渇き}}を潤す。
円滑|えんかつ|smooth; harmonious|話が{{c1::円滑}}に進む。
滑る|すべる|to slip|路面が凍って{{c1::滑る}}。
滑らか|なめらか|smooth (texture)|クリームをつけると肌が{{c1::滑らか}}になる。
茶褐色|ちゃかっしょく|dark brown|彼女は{{c1::茶褐色}}のコートを着ていた。
統轄|とうかつ|supervision; control|学校関係のことは文部省が{{c1::統轄}}している。
曾て|かつて|once; formerly|それはかつて見たことがない素晴らしい作品だった。
鞄|かばん|bag; briefcase|彼の{{c1::鞄}}は重そうだ。
株式会社|かぶしきがいしゃ|joint-stock company|{{c1::株式会社}}をつくった。
古株|ふるかぶ|veteran (member)|山田さんは、この店の{{c1::古株}}だ。
電気釜|でんきがま|electric rice cooker|{{c1::電気釜}}でごはんを炊く。
嚙む|かむ|to chew; to bite|ガムを噛む。
嚙まれた|かまれた|was bitten|犬に手を噛まれた。
刈る|かる|to cut; to mow|草を{{c1::刈る}}。
稲刈り|いねかり|rice harvesting|{{c1::稲刈り}}をした。
瓦屋根|かわらやね|tiled roof|あの{{c1::瓦屋根}}の家が自宅だ。
肝心な|かんじんな|essential; important|{{c1::肝心な}}ことを伝え損ねた。
栄冠|えいかん|honor; laurel; crown|{{c1::栄冠}}を勝ちとった。
冠|かんむり|crown|王様は{{c1::冠}}をかぶっていた。
看病|かんびょう|nursing (a patient)|祖父の{{c1::看病}}をしている。
看護婦|かんごふ|nurse (outdated term)|将来は{{c1::看護婦}}になりたい。
欠陥商品|けっかんしょうひん|defective product|{{c1::欠陥商品}}が売られていた。
陥る|おちいる|to fall into (a trap, chaos)|パニックに{{c1::陥る}}。
陥れられた|おとしいれられた|was entrapped|奈落の底に{{c1::陥れられた}}。
勘定|かんじょう|bill; check; calculation|{{c1::勘定}}を済ませた。
勘当|かんどう|disownment|家出した息子を{{c1::勘当}}した。
貫通|かんつう|penetration; going through|トンネルが{{c1::貫通}}した。
貫禄|かんろく|presence; dignity|会長としての{{c1::貫禄}}がある。
貫こう|つらぬこう|to carry through|初志を{{c1::貫こう}}。
喚声|かんせい|shout of joy or surprise|すばらしい技に驚きの{{c1::喚声}}があがった。
喚問|かんもん|summons (for testimony)|証人を{{c1::喚問}}する。
堪忍|かんにん|patience; forgiveness|もうこれ以上{{c1::堪忍}}できない。
堪える|たえる|to endure; to bear|鑑賞に{{c1::堪える}}。
勇敢|ゆうかん|bravery|{{c1::勇敢}}に戦った。
敢闘|かんとう|fighting bravely|最後まで{{c1::敢闘}}する。
出棺|しゅっかん|departure of a coffin|{{c1::出棺}}を見送った。
納棺|のうかん|placing in a coffin|遺体を{{c1::納棺}}した。
閑静な|かんせいな|quiet and calm|{{c1::閑静な}}住宅街に引っ越した。
安閑|あんかん|idly; carefree|こんな時に{{c1::安閑}}としてはいられない。
勧告|かんこく|recommendation; advice|辞任を{{c1::勧告}}した。
勧誘|かんゆう|solicitation; recruitment|保険の{{c1::勧誘}}の仕事をしている。
勧めた|すすめた|recommended|進学を{{c1::勧めた}}。
寛大な|かんだいな|lenient; generous|{{c1::寛大な}}処置だった。
寛容な|かんような|tolerant|{{c1::寛容な}}心を持っている。
新幹線|しんかんせん|bullet train|{{c1::新幹線}}に乗った。
幹部|かんぶ|executive; management|彼は組合の{{c1::幹部}}だ。
幹|みき|tree trunk|木の{{c1::幹}}をよじのぼった。
歓迎会|かんげいかい|welcome party|新入社員のための{{c1::歓迎会}}を開いた。
歓声|かんせい|cheer; shout of joy|{{c1::歓声}}があがった。
監督|かんとく|supervision; director|部下を{{c1::監督}}する。
監視|かんし|monitoring; surveillance|国境では{{c1::監視}}の目を光らせている。
緩和|かんわ|easing; mitigation|混雑を{{c1::緩和}}するために時差通勤を呼びかける。
緩やか|ゆるやか|gentle; slow|{{c1::緩やか}}なカーブ。
緩む|ゆるむ|to loosen|緊張が{{c1::緩む}}。
遺憾|いかん|regret|その件については私も{{c1::遺憾}}に思っている。
還暦|かんれき|60th birthday|父も今年、{{c1::還暦}}を迎える。
返還|へんかん|return (of something)|北方領土の{{c1::返還}}を叫ぶ。
還元|かんげん|return; restoration|利益を{{c1::還元}}する。
環境|かんきょう|environment|{{c1::環境}}に恵まれている。
循環|じゅんかん|circulation|このバスは市内を{{c1::循環}}している。
戦艦|せんかん|battleship|昔の{{c1::戦艦}}が海の底に沈んでいる。
艦隊|かんたい|fleet|{{c1::艦隊}}を編成して戦場に向かう。
鑑定|かんてい|appraisal; judgment|{{c1::鑑定}}を依頼した。
文芸年鑑|ぶんげいねんかん|literary yearbook|{{c1::文芸年鑑}}を買った。
音楽鑑賞|おんがくかんしょう|music appreciation|私の趣味は{{c1::音楽鑑賞}}です。
眼科|がんか|ophthalmology|{{c1::眼科}}が専門だ。
近眼|きんがん|nearsightedness|{{c1::近眼}}の人は眼鏡をかける。
眼鏡|めがね|glasses|{{c1::眼鏡}}をかける。
寝ぼけ眼|ねぼけまなこ|sleepy eyes|息子は{{c1::寝ぼけ眼}}で起きてきた。
頑張って|がんばって|hang in there|{{c1::頑張って}}ください。
頑丈な|がんじょうな|solid; sturdy|この家は{{c1::頑丈な}}造りだ。
企画|きかく|planning|新番組を{{c1::企画}}する。
大企業|だいきぎょう|large corporation|{{c1::大企業}}が倒産した。
企てる|くわだてる|to plan; to scheme|海外進出を{{c1::企てる}}。
岐路|きろ|crossroads|人生の{{c1::岐路}}に立っている。
多岐|たき|many directions; diverse|その発展の専門分野は{{c1::多岐}}にわたっている。
忌引|きびき|bereavement leave|{{c1::忌引}}で会社を休んだ。
忌まわしい|いまわしい|abominable; detestable|{{c1::忌まわしい}}出来事だった。
忌む|いむ|to detest; to avoid|死を{{c1::忌む}}。
汽車|きしゃ|train (steam-powered)|8時発の{{c1::汽車}}に乗る。
汽笛|きてき|steam whistle|船が{{c1::汽笛}}を鳴らしながら港に入ってきた。
奇数|きすう|odd number|{{c1::奇数}}と偶数。
奇遇|きぐう|strange coincidence|こんな所でお会いするとは{{c1::奇遇}}ですね。
奇想天外な|きそうてんがいな|fantastic; bizarre|{{c1::奇想天外な}}発想だ。
新世紀|しんせいき|new century|いよいよ{{c1::新世紀}}だ。
風紀|ふうき|public morals|{{c1::風紀}}が乱れている。
無軌道|むきどう|lawless; reckless|{{c1::無軌道}}な若者が増えている。
軌道|きどう|orbit; path|事業が{{c1::軌道}}に乗る。
既存|きそん|existing|{{c1::既存}}の施設を利用した。
既に|すでに|already|私が着いた時には、{{c1::既に}}電車は出た後だった。
飢餓|きが|famine|{{c1::飢餓}}に苦しんでいる人々がいる。
飢えた|うえた|hungry; starved|{{c1::飢えた}}猿が山から下りてきた。
鬼才|きさい|genius|彼は{{c1::鬼才}}だ。
鬼|おに|ogre; demon|彼は仕事の{{c1::鬼}}だ。
鬼にする|おににする|harden one's heart|心を{{c1::鬼にする}}。
基礎|きそ|foundation|{{c1::基礎}}からやり直す。
基準|きじゅん|standard|厳しい{{c1::基準}}を設けた。
基づく|もとづく|to be based on|憲法に{{c1::基づく}}。
基|もと|base; origin|歯の{{c1::基}}を築く。
指揮|しき|command; direction|私が工事の{{c1::指揮}}をとる。
発揮|はっき|demonstration; display|実力を{{c1::発揮}}する。
棋士|きし|shogi player|将来は{{c1::棋士}}になりたい。
将棋|しょうぎ|Japanese chess|{{c1::将棋}}を指す。
貴重|きちょう|precious; valuable|{{c1::貴重}}な体験をした。
貴い|とうとい|noble; precious|{{c1::貴い}}命を大切にする。
貴ぶ|とうとぶ|to value; to respect|人の意見を{{c1::貴ぶ}}。
棄権|きけん|withdrawal; abstention|マラソンを途中で{{c1::棄権}}してしまった。
廃棄処分|はいきしょぶん|disposal (as waste)|古いピアノを{{c1::廃棄処分}}にした。
国旗|こっき|national flag|{{c1::国旗}}をかかげる。
旗|はた|flag|{{c1::旗}}を振る。
手旗信号|てばたしんごう|semaphore signal|{{c1::手旗信号}}を送る。
光輝|こうき|radiance; brilliance|{{c1::光輝}}を放つ。
輝いて|かがやいて|shining|ダイヤモンドが{{c1::輝いて}}いる。
輝かしい|かがやかしい|brilliant; glorious|{{c1::輝かしい}}成功をおさめる。
騎乗|きじょう|horseback riding|白馬に{{c1::騎乗}}する。
騎馬戦|きばせん|cavalry battle (school sport)|体育祭では{{c1::騎馬戦}}に参加した。
便宜|べんぎ|convenience|友人に{{c1::便宜}}を図る。
適宜|てきぎ|appropriately|{{c1::適宜}}な処置をとる。
偽造|ぎぞう|forgery|公文書の{{c1::偽造}}は罪になる。
偽って|いつわって|to pretend; to fake|病気と{{c1::偽って}}欠席した。
偽札|にせさつ|counterfeit bill|{{c1::偽札}}を作り、捕まる。
詐欺|さぎ|fraud|{{c1::詐欺}}をはたらき捕まった。
欺く|あざむく|to deceive|人を{{c1::欺く}}ようなことはするな。
義理|ぎり|duty; obligation|{{c1::義理}}を欠くわけにはいかない。
講義|こうぎ|lecture|あの先生の{{c1::講義}}はつまらない。
義務|ぎむ|duty; obligation|{{c1::義務}}を果たす。
儀式|ぎしき|ceremony|創立記念の{{c1::儀式}}が行われた。
地球儀|ちきゅうぎ|globe|{{c1::地球儀}}で自分の国をさがした。
戯曲化|ぎきょくか|dramatization|小説が{{c1::戯曲化}}される。
戯れて|たわむれて|to frolic; to play|子犬がボールと{{c1::戯れて}}いる。
悪戯|いたずら|mischief|この子は{{c1::悪戯}}好きだ。
模擬試験|もぎしけん|mock exam|{{c1::模擬試験}}を受けてみた。
擬音語|ぎおんご|onomatopoeia|日本語の{{c1::擬音語}}はおもしろい。
擬態語|ぎたいご|mimetic word|{{c1::擬態語}}の使い方を学ぶ。
犠牲|ぎせい|sacrifice|彼は家庭を{{c1::犠牲}}にして働いている。
菊|きく|chrysanthemum|{{c1::菊}}の花が咲いている。
野菊|のぎく|wild chrysanthemum|{{c1::野菊}}をとってきて部屋に飾った。
大吉|だいきち|great fortune|おみくじを引いたら{{c1::大吉}}だった。
不吉な|ふきつな|ominous|なんとなく{{c1::不吉な}}予感がする。
売却|ばいきゃく|sale|土地を{{c1::売却}}した。
却下|きゃっか|rejection|新しい企画の申請は{{c1::却下}}された。
失脚|しっきゃく|loss of position|クーデターで{{c1::失脚}}した政治家。
脚|あし|leg; foot|机の{{c1::脚}}に足をぶつけた。
普及|ふきゅう|spread; popularization|パソコンが{{c1::普及}}する。
及ぶ|およぶ|to reach; to extend|水害が町全体に{{c1::及ぶ}}。
及ぼす|およぼす|to exert (influence, etc.)|彼の言動が世界に影響を{{c1::及ぼす}}。
弓道|きゅうどう|Japanese archery|彼は{{c1::弓道}}をやっている。
弓|ゆみ|bow|彼は強い{{c1::弓}}を使っている。
丘陵|きゅうりょう|hill; hillock|海岸に沿って、なだらかな{{c1::丘陵}}が続いている。
丘|おか|hill|小高い{{c1::丘}}に登る。
老朽化|ろうきゅうか|aging and deterioration|{{c1::老朽化}}したので、新築することにした。
朽ちて|くちて|to rot; decay|栄光の橋が{{c1::朽ちて}}落ちた。
紛糾|ふんきゅう|complication; entanglement|異論が続出して会議は{{c1::紛糾}}した。
糾明|きゅうめい|inquiry; investigation|今回の事件の解明が必要だ。
宮殿|きゅうでん|palace|ベルサイユ{{c1::宮殿}}を訪れた。
明治神宮|めいじじんぐう|Meiji Shrine|{{c1::明治神宮}}へ行った。
宮参り|みやまいり|shrine visit for a newborn|赤ちゃんを抱いてお{{c1::宮参り}}に出かけた。
窮乏|きゅうぼう|poverty|{{c1::窮乏}}した生活を送る。
窮まった|きわまった|to reach an extreme|もはや進退{{c1::窮まった}}。
拒絶|きょぜつ|rejection|支援要請は{{c1::拒絶}}された。
拒まれた|こばまれた|to be refused|相手側に{{c1::拒まれた}}。
根拠|こんきょ|basis; foundation|どんな{{c1::根拠}}に基づいて主張するのか。
証拠|しょうこ|evidence|有罪だという{{c1::証拠}}はない。
一挙に|いっきょに|at once; in one stroke|その問題を{{c1::一挙に}}解決する。
挙げたい|あげたい|to hold; to raise|教会で結婚式を{{c1::挙げたい}}。
謙虚な|けんきょな|humble|彼は{{c1::謙虚な}}人だ。
虚空|こくう|void; empty space|鳥は{{c1::虚空}}に向かって舞い上がっていった。
距離|きょり|distance|ここから空港までは、かなり{{c1::距離}}がある。
凶暴な|きょうぼうな|ferocious; brutal|{{c1::凶暴な}}男が逃走中だ。
凶器|きょうき|deadly weapon|犯人は{{c1::凶器}}を持っているそうだ。
狂喜|きょうき|ecstasy; wild joy|当選の知らせに支援者は{{c1::狂喜}}した。
