#separator:pipe
#html:false
#deck:JLPT N1 語彙
#notetype:Two Backs
〜宛[て]|〜あて|for, addresed to
いっそ|いっそ|would rather, prefer
一層|いっそう|still, even, all the more
一体|いったい|whatever, on earth, in the world
一帯|いったい|a whole (wheat fields, neighbourhood)
一旦|いったん|once
一致|いっち|agreement, accord, harmony, coincidence, correspondence
五つ|いつつ|five (counter)
一定|いってい|fixed, definite, set, uniform, regular
いってまいります／いってきます|いってまいります／いってきます|So long (lit. I'm going out and coming back)
いつでも|いつでも|any time/moment, always, at all times
いってらっしゃい|いってらっしゃい|So long. (lit. go and come back)
いつのまにか|いつのまにか|all too soon
いっぱい|いっぱい|full, much
一杯|いっぱい|enough, fill, a lot of
一般に|いっぱんに|general
一変|いっぺん|change
一方|いっぽう|one side/party, the other side/party, just goes on
いつまでも|いつまでも|forever
いつも|いつも|always
移転|いてん|a move, transfer
意図|いと|intention, purpose
糸|いと|thread
緯度|いど|latitude
井戸|いど|a well
異動|いどう|(personnel) changes
移動|いどう|move, transfer
従兄弟／従姉妹|いとこ|a (first) cousin
営む|いとなむ|cary on a business/lead a busy life
挑む|いどむ|challenge, defy
以内|いない|within (distance or time)
田舎|いなか|countryside, rural area, hometown
稲光|いなびかり|lightning
犬|いぬ|dog
稲|いね|rice, a rice plant
居眠り|いねむり|a doze
命|いのち|life
祈り|いのり|prayer, grace
祈る|いのる|to pray
威張る|いばる|boast, brag, to be proud, domineer
違反|いはん|violation, breah
いびき|いびき|a snore
衣服|いふく|clothes, dress, garments, apparel, clothing
居間|いま|living room
今|いま|now
今更|いまさら|too late to ~
未だ|いまだ|still, yet, so far
今に|いまに|soon, before long, one of those days
今にも|いまにも|any minute now
意味|いみ|meaning
移民|いみん|emigration, immmigration
イメージ|イメージ|an image, an impression
妹|いもうと|one's younger sister
妹(さん)|いもうと(さん)|younger sister
嫌|いや|dislike
嫌／否|いや|no
いやいや|いやいや|shake one's head, unwillingly
嫌がる|いやがる|dislike, hate
卑しい|いやしい|greedy, vulgar, mean, shabbily, low
いやに|いやに|suspiciously
いやらしい|いやらしい|disgusting, improper, vulgar
いよいよ|いよいよ|more and more, at last, really, assuredly
意欲|いよく|will (eagerness)
以来|いらい|since (then), ever since
依頼|いらい|a request, dependence, reliance, commission
いらいら|いらいら|nervousness, jitter, be/get irritated, become impatient
いらっしゃい(ませ)|いらっしゃい(ませ)|Welcome!, May I help you?, What can I do for you?
いらっしゃる(います)|いらっしゃる(います)|be, go, come (honorific)
入口|いりぐち|entrance
衣料|いりょう|clothing, clothes
医療|いりょう|medical treatment/care, healthcare
威力|いりょく|power, teeth
居る|いる|be, exist
要る|いる|required
煎る／炒る|いる|roast, parch, toast
衣類|いるい|clothing, clothes
入れ物|いれもの|a receptacle, a container, a case
入れる|いれる|pour (a cup of coffee)
色|いろ|color
色々|いろいろ|various
異論|いろん|differen opinion, objection, controversial
岩|いわ|a rock, a crag
祝|いわい|celebration, a festival, congratulations
祝う|いわう|congratulate, celebrate
言わば|いわば|like, a kind of, as it were, so to speak, in a manner
いわゆる|いわゆる|what is called, what they call, so-called
印鑑|いんかん|one's seal
陰気|いんき|gloom, somberness
隠居|いんきょ|retirement, retired person, the old gentleman/lady
インク／インキ|インク／インキ|ink
印刷|いんさつ|printing, typography, print
印象|いんしょう|impression
インターナショナル|インターナショナル|international
インターフォン|インターフォン|intercom
引退|いんたい|retirement
インタチェンジ|インタチェンジ|interchange
インタビュー|インタビュー|an interview
インテリ|インテリ|intellectual person, intelligentsia
インフォメーション|インフォメーション|information
インフレ|インフレ|inflation
引用|いんよう|quotation, citation
引力|いんりょく|attactive force, attraction, affinity, gravitation, magnetism, attractiveness
ウイスキー|ウイスキー|whisky
ウイルス|ウイルス|virus
ウーマン|ウーマン|a woman
ウール|ウール|wool
上|うえ|above, up, on the ~
ウエートレス／ウエイトレス|ウエートレス／ウエイトレス|a waitress
植木|うえき|a garden plant, potted plant
飢える|うえる|starve, be famished, be hungry
植える|うえる|plant
魚|うお|a fish
うがい|うがい|gargling
伺う|うかがう|ask, hear, visit (used when a speaker shows modesty)
浮[か]ぶ|うかぶ|float, surface, appear, flash
浮[か]べる|うかべる|float, launch, visualise
受かる|うかる|(in an examination) success/pass
浮く|うく|float, suspend, lose touch with, save (money)
受[け]入[れ]|うけいれ|acceptance, reception
受[け]入れる|うけいれる|receive, grant, comply with, accept, take in, admit
承る|うけたまわる|hear, comply with
受[け]継ぐ|うけつぐ|take over, inherit
受[け]付[け]|うけつけ|reception, receptionist
受[け]付ける|うけつける|accept, listen to
受[け]止める|うけとめる|catch, stop, take
受[け]取[り]|うけとり|accept, a receipt
受[け]取る|うけとる|receive, get, accept, tak, interpret, view, think
受[け]身|うけみ|passive voice
受[け]持ち|うけもち|in one's charge
受[け]持つ|うけもつ|be in charge, take charge, handle, manage, cover
受[け]る|うける|catch (a ball), receive (education, kindness, permission)
動かす|うごかす|move, shift, budge, transfer, put in action, operate, run, change, affect, manage
動き|うごき|movement, trend, sign
動く|うごく|move
兎|うさぎ|a rabbit, a hare
牛|うし|a cow
失う|うしなう|lose, miss
後ろ|うしろ|back, behind
渦|うず|whirlpool, eddy
薄い|うすい|thin
薄暗い|うすぐらい|dim, dusky
薄める|うすめる|thin, dilute, weaken
埋める|うずめる|lay low, bury
嘘|うそ|lie, untrue
嘘つき|うそつき|liar
歌|うた|song(s)
歌う|うたう|sing (a song)
疑う|うたがう|doubt, wonder, suspect
転寝|うたたね|doze, nap, snooze
うち|うち|in, of
家|うち|home
内|うち|between, among
打ち明ける|うちあける|confide, confess, tell the truth, bare
打ち合わせ|うちあわせ|arrangements
打ち合わせる|うちあわせる|knock together, arrange/discuss beforehand
打ち切る|うちきる|cut off, break off
打ち消し|うちけし|denial, negation
打ち消す|うちけす|deny, drown
打ち込む|うちこむ|beat in, dedicate oneself to, drive in, type in
宇宙|うちゅう|the universe, the cosmos, space
団扇|うちわ|a (round) fan, a round/flat paper fan
内訳|うちわけ|breakdown
打つ|うつ|type, hit, beat
うっかり|うっかり|carelessly, absentmindedly, by mistake
美しい|うつくしい|beautiful, pretty, lovely
写し|うつし|copy, duplicate
移す|うつす|move, transfer
写す|うつす|take (a picture), copy
写す／映す|うつす|copy, reflect, project
訴え|うったえ|appeal, suit
訴える|うったえる|sue, bring an action, complain, file/lodge a complaint, resort to, touch, move
うっとうしい|うっとうしい|annoying, gloomy
うつむく|うつむく|droop one's head, downcast
移る|うつる|move (from, to), change
写る／映る|うつる|come out, take, photograph, be reflected
空ろ|うつろ|hollow, vacant, blank
器|うつわ|container, receptacle, vessel
腕|うで|arm(s)
腕前|うでまえ|performance, skill
雨天|うてん|rainy (wet) weather
うどん|うどん|udon
促す|うながす|urge, press, stimulate, hasten, accelerate
うなずく|うなずく|nod
うなる|うなる|growl, groan, moan
うぬぼれ|うぬぼれ|conceit, vanity
奪う|うばう|take (a thing) by force, rob, deprive, plunder
馬|うま|horse
うまい|うまい|delicious, tasty, good at, bright, good, witty
埋まる|うまる|be buried
生まれ|うまれ|birth, one's birthplace
うまれつき|うまれつき|by nature, by birth, naturally, by constitution
生まれる|うまれる|be born
海|うみ|the sea, the ocean
有無|うむ|have or not
産む|うむ|have a baby, bear, deliver
梅|うめ|Japanese apricot, plum
埋め込む|うめこむ|implant, embed
梅干し|うめぼし|pickled plum
埋める|うめる|cove, bury, immerse, sink
敬う|うやまう|respect, esteem, look up to
裏|うら|reverse side, back
裏返し|うらがえし|reflection, reverse side, turn over, turn upside down
裏返す|うらがえす|turn over, reverse
裏切る|うらぎる|betray, be unfaithful, disappoint, fail
裏口|うらぐち|the back door
占う|うらなう|tell fortunes, do horoscopes, divine, cast, augur
恨み|うらみ|a grudge, ill will, hatred
恨む|うらむ|have/hold/bear a grudge, blame, resent
羨ましい|うらやましい|envy, enviable, be envious of
羨む|うらやむ|envy, be envious
売[り]上[げ]|うりあげ|sales
売[り]切[れ]|うりきれ|sold, sell out, out of stock
売[り]切れる|うりきれる|be sold out, be out of stock
売り出し|うりだし|bargain sale, up-and-coming, be (put) on the market
売り出す|うりだす|be put on the market, become popular
売り場|うりば|counter (in the store), booth
売る|うる|to sell
潤う|うるおう|be moistened, get well, benefit
うるさい|うるさい|noisy, annoyed
嬉しい|うれしい|glad, be happy
売れ行き|うれゆき|sales
売れる|うれる|sell, be sold, realize
うろうろ|うろうろ|loitering around
浮気|うわき|flirtation, love affair
上着|うわぎ|coat, jacket
噂|うわさ|gossip, rumour
上回る|うわまわる|exceed, be better (than), surpass, overtake
植わる|うわる|be planted
うん|うん|yes (plain form)
うん|うん|yes, yeah, ah, I've got it
運|うん|luck, fortune, fate
運営|うんえい|management, administration
運河|うんが|canal
うんざり|うんざり|tired, bored, sick
運送|うんそう|transportation, carriage
運賃|うんちん|fare
運転|うんてん|drive
運転手|うんてんしゅ|driver
うんと|うんと|a lot, much, greatly, great deal
運動(する)|うんどう(する)|exercise
云々|うんぬん|and so on, etc, comment
運搬|うんぱん|transportation, conveyance
運命|うんめい|one's fate/destiny/doom/fortune/lot
運輸|うんゆ|transportation, carriage
運用|うんよう|operation, management
絵|え|picture
柄|え|handle, grip
え(っ)|え(っ)|huh?
エアメール|エアメール|airmail
永遠|えいえん|eternity, permanence, immortality
映画|えいが|movie
映画館|えいがかん|movie theater
永久|えいきゅう|eternity, permanence
影響|えいきょう|influence, effect
営業|えいぎょう|business, trade, operation, do business
英語|えいご|English
英字|えいじ|English letter, Roman letter
映写|えいしゃ|projection
衛星|えいせい|a satellite, a moon
衛生|えいせい|hygiene, sanitation, health
映像|えいぞう|image, reflection, picture, video, tape recording, blip
英文|えいぶん|English, an English sentence
英雄|えいゆう|hero
栄養|えいよう|nutrition, nourishment
英和|えいわ|English-Japanese
ええ|ええ|yes
ええと|ええと|let me see, well, uh
笑顔|えがお|a smile
描く|えがく|draw, paint, represent, trace, outline, figure, describe, depict, think, image
液|えき|juice
駅|えき|station
液体|えきたい|a liquid, a fluid
餌|えさ|baid, food, feed
エスカレーター|エスカレーター|escalator
枝|えだ|branch
エチケット|エチケット|etiquette
閲覧|えつらん|read, browse
エネルギー|エネルギー|energy
絵の具|えのぐ|paints, colours, pigments
エプロン|エプロン|apron
獲物|えもの|game, take, bag, catch
偉い|えらい|great, admirable, serious, awful, terrible
選ぶ|えらぶ|choose
襟|えり|collar, neck
得る|える／うる|get, acquire, gain, attain, obtain, procure, win, secure
エレガント|エレガント|elegant
エレベーター|エレベーター|elevator
円|えん|yen value
縁|えん|tie, relationship, link, knot, chance, fate, destiny
宴会|えんかい|a banquet, a feast, a dinner (party)
円滑|えんかつ|smooth(ly)
縁側|えんがわ|a narrow wooden passageway (deck) along the edge of the house facing the garden
沿岸|えんがん|the coast
延期|えんき|postponement, adjournment
演技|えんぎ|acting, performance
婉曲|えんきょく|euphemistic
園芸|えんげい|gardening
演劇|えんげき|drama, play
エンジニア|エンジニア|engineer
円周|えんしゅう|circumference
演習|えんしゅう|practice, exercises, maneuvers
演出|えんしゅつ|direction (in film)
援助|えんじょ|assistance,support
演じる／ずる|えんじる／ずる|perform, enact
エンジン|エンジン|an engine
演説|えんぜつ|a speech, an address, an oration
沿線|えんせん|along (on) a railway line
演奏|えんそう|a (musical) performance, a rendering, a rendition
遠足|えんそく|an excursion, an outing, a picnic, a hike, a school excursion
縁談|えんだん|marriage proposal
延長|えんちょう|extension
煙突|えんとつ|a chimney
鉛筆|えんぴつ|pencil
遠方|えんぽう|distant place
円満|えんまん|amiable
遠慮|えんりょ|modesty, refrain, hesitate
尾|お|tail
御〜|お〜|polite marker
おい|おい|hey, hey there
甥|おい|nephew
追い掛ける|おいかける|run after, chase, pursue, follow
追い越す|おいこす|pass, get ahead of, outstrip, get ahead of, surpass
追い込む|おいこむ|druve something into
おいしい|おいしい|delicious, tasty
追い出す|おいだす|drive off, kick out
追い付く|おいつく|catch up, overtake, attain, reach
於いて|おいて|at, in, as to
おいでになる|おいでになる|come from (honorific)
オイル|オイル|oil, gasoline, gas, petrol, motor oil, suntan lotion
老いる|おいる|grow old
お祝い|おいわい|celebration, congratulations, gift
負う|おう|take responsibility, owe
王|おう|king, monarch, ruler
